"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"CoarseFrags",3460.57282248199,3461.01238292155,0.904049449530421,1.038,0.105405919310562,-1726.28641124099,0.336017606775612,972,97.2,4
"ASCII_5kmb29.CoarseFrags",3466.59272924387,3467.8654565166,0.0294479467785173,2.287,0.105987876141374,-1726.29636462194,0.336016932410807,0,0,7
"ASCII_5kmb29",3472.66322007512,3473.10278051469,0.0294251503685031,3.215,0.0277228967616325,-1732.33161003756,0.336394856897481,10,1,4
"Distance",3473.66596503907,3473.79499729713,0.0370774533225584,3.46,0.0243324082356022,-1734.83298251953,0.336749399147999,18,1.8,2
