"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"CoarseFrags",-297.374425958194,4,602.748851916389,603.61841713378,0.0568409097961165,0.494663109463853,-297.374425958194
"Distance",-302.346259412879,2,608.692518825757,608.942518825757,0.00739741363957991,0.468978750717999,-302.346259412879
"Null",-307.992340366749,1,617.984680733498,618.06631338656,0,0.466449700121944,-307.992340366749
