"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"Clay",2680.96213518748,2681.39691779618,0.574512796752104,1.346,0.0252135738321197,-1336.48106759374,0.305699644800395,793,79.3,4
"SOMO31",2684.86726783998,2685.30205044868,0.139796704880393,3.27,0.0129677772024802,-1338.43363391999,0.305765251771804,118,11.8,4
"Distance",2684.83602022195,2684.96367979642,0.145103623571391,3.34,0.0024995541740524,-1340.41801011097,0.305913842002322,68,6.8,2
"VRM",2685.83507004788,2686.26985265658,0.0694149641362744,4.141,0.0112962077419108,-1338.91753502394,0.305711626592145,14,1.4,4
"Clay.SOMO31",2685.91398010695,2687.17240707324,0.0393339241071337,4.199,0.011156746652493,-1335.95699005348,0.305647188997878,7,0.7,7
"Clay.VRM",2686.61469912435,2687.87312609064,0.0243742211499285,4.918,0.013295019025722,-1336.30734956217,0.30563674846172,0,0,7
"SOMO31.VRM",2690.03465708182,2691.29308404812,0.0067678863036351,6.851,0.0144223099020844,-1338.01732854091,0.305681808453183,0,0,7
"Clay.SOMO31.VRM",2693.23649634317,2695.79463587806,0.000695879099140467,7.935,0.0143741660378797,-1336.61824817159,0.305612018571377,0,0,10
