"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"Clay",-2345.26844064025,4,4698.5368812805,4698.8568812805,0.0248356034736375,0.406570165876265,-2345.26844064025,0,0.798476049147518
"Clay.SOMO31",-2344.26056199792,7,4702.52112399585,4703.43915678273,0.010748051911016,0.399376343337825,-2344.26056199792,4.58227550223182,0.0807668994469599
"Clay.VRM",-2344.6945970426,7,4703.38919408519,4704.30722687207,0.0129726600765354,0.403244651594509,-2344.69459704259,5.45034559157375,0.0523280301385068
"SOMO31",-2348.44706964928,4,4704.89413929856,4705.21413929856,0.0127175105016136,0.403968843294729,-2348.44706964928,6.35725801805711,0.0332507047834114
"VRM",-2348.79073606313,4,4705.58147212625,4705.90147212625,0.0115557517632674,0.409939370986884,-2348.79073606313,7.04459084575046,0.0235802512324416
"Distance",-2352.18687082933,2,4708.37374165866,4708.46822984763,0.00230962267424358,0.396323256676442,-2352.18687082933,9.61134856713397,0.00653407432894264
"SOMO31.VRM",-2347.32518950145,7,4708.65037900291,4709.5684117898,0.0146293785737774,0.409482317761149,-2347.32518950146,10.7115305092993,0.00376949001490952
"Clay.SOMO31.VRM",-2344.92938082143,10,4709.85876164288,4711.70750113868,0.0143913715154934,0.407549345661217,-2344.92938082144,12.8506198581817,0.00129355603649333
"Null",-2362.05998295433,1,4726.11996590865,4726.15121590865,0,0.395446563210949,-2362.05998295433,27.2943346281518,9.44870816740926e-07
