id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02116,Onslow,-21.741,115.113,25/9/2002,2002,M,Ningaui timealeyi,Nt,WAM_M49036,Cape Range,304844.7909,7594649.588,39,82
DEC02117,Onslow,-21.7438,115.1208,10/9/2003,2003,M,Ningaui timealeyi,Nt,WAM_M53965,Cape Range,305655.4537,7594349.382,40,82
DEC02119,Munjina Roadhouse,-22.395,118.9989,29/3/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55072,Fortescue,705781.7008,7522083.044,42,29
DEC02120,West Angeles,-23.1905,118.8261,9/5/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55101,Hamersley,686899.8489,7434218.56,43,10
DEC02121,Pannawonica 6,-21.6516,115.8367,16/3/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56304,Roebourne,379626.0444,7605284.309,44,83
DEC02122,Pannawonica 5,-21.8188,116.2997,16/3/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56308,Hamersley,427621.6592,7587064.716,45,80
DEC02123,Pannawonica 4,-21.7594,116.2275,16/3/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56312,Hamersley,420126.3267,7593604.081,46,80
DEC02127,Woodie Woodie,-21.7141,121.2339,9/10/2006,2006,M,Ningaui timealeyi,Nt,WAM_M62342,Chichester,938188.9008,7592820.14,47,40
DEC02129,Woodstock,-21.6111,119.0397,7/5/1988,1988,F,Ningaui timealeyi,Nt,WAM_M28093,Chichester,711141.4892,7608833.215,48,44
DEC02130,Woodstock 2,-21.6708,119.0417,28/9/1988,1988,M,Ningaui timealeyi,Nt,WAM_M28624,Chichester,711261.6725,7602219.755,49,44
DEC02135,Woodstock 3,-21.6097,118.9622,18/9/1989,1989,M,Ningaui timealeyi,Nt,WAM_M29400,Chichester,703118.6118,7609091.496,50,44
DEC02138,Mount Windell,-22.6022,118.5208,29/7/1991,1991,F,Ningaui timealeyi,Nt,WAM_M36751,Hamersley,656319.8866,7499718.022,51,24
DEC02139,Jemmawarruda Ck,-21.8166,116.2333,NA,NA,NA,Ningaui timealeyi,Nt,WAM_M37016,Hamersley,420757.501,7587275.579,52,80
DEC02141,Barlee Range Nat Res 3,-23.3891,115.8867,12/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41808,Ashburton,386232.0217,7412967.105,53,2
DEC02142,Barlee Range Nat Res 2,-23.0797,115.7903,15/6/1994,1994,F,Ningaui timealeyi,Nt,WAM_M41828,Ashburton,376094.5803,7447144.613,54,7
DEC02143,Barlee Range Nat Res,-23.1058,115.9978,20/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41845,Ashburton,397369.5881,7444415.863,55,13
DEC02144,Barlee Range Nat Res,-23.1016,116.0078,21/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41853,Ashburton,398390.551,7444887.852,56,13
DEC02146,Pannawonica 3,-21.6583,116.2722,29/9/1993,1993,NA,Ningaui timealeyi,Nt,WAM_M41867,Hamersley,424695.7478,7604817.134,57,46
DEC02147,Hope Downs,-22.9666,119.1625,28/4/1994,1994,M,Ningaui timealeyi,Nt,WAM_M43182,Hamersley,721707.6533,7458544.524,58,8
DEC02148,Yarrie,-20.6163,120.2761,9/6/1998,1998,M,Ningaui timealeyi,Nt,WAM_M44061,Chichester,841484.6213,7716876.357,59,62
DEC02149,Brockman Mine 2,-22.3105,117.3167,17/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52408,Hamersley,532618.5191,7532770.17,60,33
DEC02150,Brockman Mine,-22.4188,117.4,18/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52414,Hamersley,541166.2473,7520761.762,61,27
DEC02152,Brockman Mine,-22.4197,117.4167,17/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52407,Hamersley,542884.683,7520657.466,62,27
DEC02153,Brockman Mine,-22.4113,117.4333,18/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52413,Hamersley,544595.7764,7521582.461,63,27
DEC02154,Pannawonica 2,-21.6272,116.4458,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56640,Chichester,442646.0444,7608333.608,64,43
DEC02155,Mount Elvire 5,-21.7108,116.7658,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56665,Hamersley,475776.9209,7599164.552,65,42
DEC02156,Dresser 2,-21.1561,119.3558,11/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56670,Chichester,744631.3554,7658760.393,66,67
DEC02157,Mount Elvire 4,-21.6728,116.7253,1/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56790,Chichester,471580.5701,7603363.616,67,42
DEC02158,Peedamulla 3,-21.9131,115.7172,27/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56809,Hamersley,367499.7389,7576237.98,68,73
DEC02159,Peedamulla 3,-21.9181,115.7233,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56817,Hamersley,368134.4874,7575689.709,69,73
DEC02160,Coongan River 2,-20.8956,119.6025,11/5/2006,2006,NA,Ningaui timealeyi,Nt,WAM_M56919,Chichester,770732.2536,7687212.468,70,56
DEC02161,Coongan River 2,-20.8983,119.5906,11/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M56921,Chichester,769488.8622,7686933.459,71,56
DEC02162,Coongan River 2,-20.8983,119.5906,12/5/2006,2006,NA,Ningaui timealeyi,Nt,WAM_M56940,Chichester,769488.8622,7686933.459,71,56
