"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"Clay",-2345.26844064025,4,4698.5368812805,4698.8568812805,0.0248356034736375,0.406570165876265,-2345.26844064025
"SOMO31",-2348.44706964928,4,4704.89413929856,4705.21413929856,0.0127175105016136,0.403968843294729,-2348.44706964928
"VRM",-2348.79073606313,4,4705.58147212625,4705.90147212625,0.0115557517632674,0.409939370986884,-2348.79073606313
"Distance",-2352.18687082933,2,4708.37374165866,4708.46822984763,0.00230962267424358,0.396323256676442,-2352.18687082933
"Null",-2362.05998295433,1,4726.11996590865,4726.15121590865,0,0.395446563210949,-2362.05998295433
