"","Estimate","Std. Error","t value"
"Intercept",7.12264615973252,0.043830306950745,162.50504856689
"Clay",0.0632767197395981,0.0109094839085869,5.80015702574093
"Intercept",7.1226461597302,0.0441613788946806,161.286769978737
"Distance",0.0191411228374595,0.00430567744650064,4.44555428856289
"Intercept",7.12264615973177,0.0442753542047141,160.87157940734
"SOMO31",0.0451968596228719,0.00865529104458896,5.22187635170601
"Intercept",7.12264615973237,0.0448904921040608,158.667143661988
"VRM",0.043314940878143,0.00838760707273431,5.16415951564391
