id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion
DEC02130,Woodstock 2,-21.6708,119.0417,28/9/1988,1988,M,Ningaui timealeyi,Nt,WAM_M28624,Chichester
DEC02135,Woodstock 3,-21.6097,118.9622,18/9/1989,1989,M,Ningaui timealeyi,Nt,WAM_M29400,Chichester
DEC02138,Mount Windell,-22.6022,118.5208,29/7/1991,1991,F,Ningaui timealeyi,Nt,WAM_M36751,Hamersley
DEC02139,Jemmawarruda Ck,-21.8166,116.2333,NA,NA,NA,Ningaui timealeyi,Nt,WAM_M37016,Hamersley
DEC02141,Barlee Range Nat Res 3,-23.3891,115.8867,12/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41808,Ashburton
DEC02142,Barlee Range Nat Res 2,-23.0797,115.7903,15/6/1994,1994,F,Ningaui timealeyi,Nt,WAM_M41828,Ashburton
DEC02143,Barlee Range Nat Res,-23.1058,115.9978,20/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41845,Ashburton
DEC02144,Barlee Range Nat Res,-23.1016,116.0078,21/6/1994,1994,M,Ningaui timealeyi,Nt,WAM_M41853,Ashburton
DEC02146,Pannawonica 3,-21.6583,116.2722,29/9/1993,1993,NA,Ningaui timealeyi,Nt,WAM_M41867,Hamersley
DEC02147,Hope Downs,-22.9666,119.1625,28/4/1994,1994,M,Ningaui timealeyi,Nt,WAM_M43182,Hamersley
DEC02148,Yarrie,-20.6163,120.2761,9/6/1998,1998,M,Ningaui timealeyi,Nt,WAM_M44061,Chichester
DEC02149,Brockman Mine 2,-22.3105,117.3167,17/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52408,Hamersley
DEC02150,Brockman Mine,-22.4188,117.4,18/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52414,Hamersley
DEC02152,Brockman Mine,-22.4197,117.4167,17/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52407,Hamersley
DEC02153,Brockman Mine,-22.4113,117.4333,18/11/1998,1998,M,Ningaui timealeyi,Nt,WAM_M52413,Hamersley
DEC02154,Pannawonica 2,-21.6272,116.4458,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56640,Chichester
DEC02155,Mount Elvire 5,-21.7108,116.7658,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56665,Hamersley
DEC02156,Dresser 2,-21.1561,119.3558,11/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56670,Chichester
DEC02157,Mount Elvire 4,-21.6728,116.7253,1/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56790,Chichester
DEC02158,Peedamulla 3,-21.9131,115.7172,27/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56809,Hamersley
DEC02159,Peedamulla 3,-21.9181,115.7233,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56817,Hamersley
DEC02160,Coongan River 2,-20.8956,119.6025,11/5/2006,2006,NA,Ningaui timealeyi,Nt,WAM_M56919,Chichester
DEC02161,Coongan River 2,-20.8983,119.5906,11/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M56921,Chichester
DEC02162,Coongan River 2,-20.8983,119.5906,12/5/2006,2006,NA,Ningaui timealeyi,Nt,WAM_M56940,Chichester
DEC02163,Roeburne 2,-20.808,117.0725,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57235,Chichester
DEC02164,Mount Florance 3,-21.7141,117.7755,10/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57274,Chichester
DEC02165,Bonney Downs 2,-22.1178,119.8772,19/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57315,Chichester
DEC02166,Bonney Downs,-22.0853,119.7035,21/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57325,Chichester
DEC02167,Marble Bar 2,-21.3108,119.6042,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57691,Chichester
DEC02168,Dresser,-21.2181,119.4019,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57693,Chichester
DEC02169,Dresser,-21.2367,119.4083,2/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M57697,Chichester
DEC02171,Mount De Courcey,-22.7402,116.4611,21/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57726,Hamersley
DEC02172,Mount Edith,-22.5714,116.1483,21/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57727,Hamersley
DEC02174,Rhodes Ridge 2,-23.146,119.2658,14/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57737,Hamersley
DEC02175,Rhodes Ridge,-23.1032,119.0389,11/5/2005,2005,F,Ningaui timealeyi,Nt,WAM_M57741,Hamersley
DEC02176,Rhodes Ridge,-23.1032,119.0389,8/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57747,Hamersley
DEC02178,Mount Minnie 2,-22.1697,115.5608,2/5/2005,2005,F,Ningaui timealeyi,Nt,WAM_M57754,Hamersley
DEC02179,Marda Pool,-21.0699,116.2069,22/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57873,Roebourne
DEC02180,Fortescue River,-22.0592,117.6935,19/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57938,Hamersley
DEC02181,Mount Bruce 4,-22.7161,118.2633,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60509,Hamersley
DEC02182,Mount Bruce 3,-22.6094,118.2992,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60513,Hamersley
DEC02183,Mount Bruce 3,-22.6214,118.3147,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60520,Hamersley
DEC02184,Mount Bruce 4,-22.7161,118.2633,28/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60526,Hamersley
DEC02185,Peedamulla 2,-21.8417,115.5825,11/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M60575,Roebourne
DEC02188,Coongan River,-20.9231,119.6103,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61034,Chichester
DEC02189,Mount Bruce 4,-22.7225,118.2683,27/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61684,Hamersley
DEC02191,Mount Bruce 2,-22.6219,118.3511,27/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61692,Hamersley
DEC02192,Wheelarra Hill 4,-23.4986,120.2911,21/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61723,Augustus
DEC02193,Wheelarra Hill 3,-23.4711,120.215,21/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61731,Augustus
DEC02195,Wheelarra Hill 2,-23.28,120.1761,20/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61736,Fortescue
DEC02196,Balfour Downs 3,-22.5442,120.7992,16/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61761,Chichester
DEC02197,Balfour Downs 2,-22.6033,120.7833,15/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61766,Chichester
DEC02198,Balfour Downs 3,-22.5442,120.7992,14/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61769,Chichester
DEC02199,Balfour Downs,-22.6111,120.7289,11/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61782,Chichester
DEC02202,Mount Elvire 3,-21.6828,116.7522,5/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56634,Chichester
DEC02203,Mount Elvire 2,-21.8736,116.5025,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56639,Hamersley
DEC02204,Mount Elvire 5,-21.7083,116.7658,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56642,Hamersley
DEC02205,Marble Bar,-21.4264,119.5531,10/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56667,Chichester
DEC02206,Marble Bar,-21.4264,119.5531,11/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56672,Chichester
DEC02210,Mount Elvire,-21.8397,116.6825,1/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56780,Hamersley
DEC02211,Warramboo Creek 2,-21.7333,115.8081,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56783,Hamersley
