"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"DEC02118","DEC02171",0.2548,NA,"Munjina Roadhouse 2",2004,"M","Mount De Courcey",2005
"DEC02213","DEC02214",0.4597,"M","Warramboo Creek",2005,NA,"Warramboo Creek",2005
